GPCR_NAME,gnaoAct,gnaqAct,gna15Act,gnas2Act,gnas13Act
GPR52,0.2,0.8,0.8,0.0,0.0
HTR1A,0.9,0.4,0.4,0.0,0.0
HTR1B,1.0,0.9,0.9,0.0,0.0
HTR1D,0.9,1.0,1.0,0.0,0.0
HTR1E,0.9,1.0,1.0,0.0,0.0
HTR1F,0.9,0.9,0.9,0.0,0.0
HTR2A,0.3,0.8,0.7,0.0,0.0
HTR2B,0.9,0.1,0.1,0.0,0.0
HTR2C,1.0,0.0,0.0,0.0,0.0
HTR4,0.0,1.0,0.9,0.0,0.0
HTR5A,0.6,0.9,0.9,0.0,0.0
HTR6,0.1,0.9,0.0,0.0,0.0
HTR7,0.0,0.5,1.0,0.5,0.0
ADORA1,0.0,1.0,0.9,0.0,0.0
ADORA2A,0.1,0.0,0.9,1.0,0.0
ADORA2B,0.8,1.0,0.2,0.0,0.0
ADORA3,0.3,0.7,0.7,0.0,0.0
ADRA1A,1.0,0.0,0.0,0.0,0.0
ADRA1B,0.8,0.2,0.0,0.0,0.0
ADRA1D,1.0,0.0,0.0,0.0,0.0
ADRA2A,0.6,0.4,0.4,0.0,0.0
ADRA2B,0.9,0.1,0.1,0.0,0.0
ADRA2C,0.9,0.2,0.2,0.0,0.0
ADRB1,1.0,0.0,0.0,0.0,0.0
ADRB2,0.0,1.0,1.0,0.0,0.0
ADRB3,0.9,0.1,0.1,0.0,0.0
DRD1,1.0,0.0,0.0,0.6,0.0
DRD2,0.1,1.0,1.0,0.0,0.0
DRD3,0.9,0.2,0.2,0.0,0.0
DRD4,0.9,0.1,0.1,0.0,0.0
DRD5,1.0,0.0,0.0,0.0,0.0
HRH2,0.2,0.8,0.8,0.0,0.0
MTNR1A,1.0,0.2,0.0,0.0,0.0
MTNR1B,1.0,0.1,0.0,0.0,0.0
CNR1,1.0,0.2,0.0,0.0,0.0
PTGER1,0.1,0.2,0.8,0.8,0.1
PTGER2,0.0,0.0,0.8,1.0,0.0
PTGER3,0.0,0.1,0.0,0.9,0.0
PTGER4,0.1,0.0,0.0,0.9,0.0
PTGDR,0.9,0.9,0.0,0.1,0.0
TBXA2R,0.9,0.0,0.0,0.1,0.0
FFAR1,1.0,0.0,0.0,0.0,0.0
NTSR1,1.0,0.9,0.0,0.0,0.0
